time,Voltage min,Shunt current
4.409,,13.0
4.413,,1.0
4.4171,,-10.0
4.4211,,-1.0
4.4252,,0.0
4.4292,,-1.0
4.4332,,-8.0
4.4373,,1.0
4.4413,,-5.0
4.4454,,2.0
4.4494,,0.0
4.4535,,0.0
4.4575,,0.0
4.4616,,9.0
4.4656,,1.0
4.4697,,0.0
4.4737,,0.0
4.4778,,1.0
4.4818,,7.0
4.4859,,2.0
4.4899,,0.0
4.494,,4.0
4.498,,4.0
4.5021,,-6.0
4.5061,,13.0
4.5063,3.79,
4.5102,,13.0
4.5142,,-1.0
4.5183,,8.0
4.5223,,11.0
4.5264,,0.0
4.5304,,-9.0
4.5345,,4.0
4.5385,,4.0
4.5426,,-9.0
4.5466,,-3.0
4.5507,,1.0
4.5547,,0.0
4.5588,,4.0
4.5628,,-5.0
4.5669,,6.0
4.5709,,1.0
4.575,,4.0
4.579,,3.0
4.583,,-3.0
4.5871,,-9.0
4.5911,,2.0
4.5952,,-4.0
4.5992,,11.0
4.6033,,5.0
4.6073,,-5.0
4.6114,,6.0
4.6154,,-6.0
4.6195,,1.0
4.6235,,-2.0
4.6276,,12.0
4.6316,,3.0
4.6357,,-7.0
4.6397,,2.0
4.6438,,0.0
4.6478,,5.0
4.6519,,0.0
4.6559,,0.0
4.66,,-7.0
4.664,,-14.0
4.6681,,3.0
4.6721,,-4.0
4.6762,,0.0
4.6802,,3.0
4.6843,,4.0
4.6883,,8.0
4.6924,,-6.0
4.6964,,-4.0
4.7005,,9.0
4.7045,,-4.0
4.7086,,7.0
4.7126,,8.0
4.7167,,1.0
4.7207,,2.0
4.7248,,-5.0
4.7288,,9.0
4.7328,,-2.0
4.7369,,-5.0
4.7409,,5.0
4.745,,-6.0
4.749,,-1.0
4.7531,,9.0
4.7571,,-11.0
4.7612,,-11.0
4.7652,,7.0
4.7693,,-13.0
4.7733,,-13.0
4.7774,,-1.0
4.7814,,-3.0
4.7855,,-3.0
4.7895,,9.0
4.7936,,-9.0
4.7976,,0.0
4.8017,,-2.0
4.8057,,3.0
4.8098,,3.0
4.8138,,0.0
4.8179,,5.0
4.8219,,-4.0
4.826,,-1.0
4.83,,-1.0
4.8341,,4.0
4.8381,,3.0
4.8422,,-2.0
4.8462,,0.0
4.8503,,6.0
4.8543,,-1.0
4.8584,,0.0
4.8624,,1.0
4.8665,,4.0
4.8705,,10.0
4.8745,,-4.0
4.8786,,6.0
4.8826,,5.0
4.8867,,4.0
4.8907,,0.0
4.8948,,13.0
4.8988,,6.0
4.9029,,4.0
4.9069,,-3.0
4.911,,3.0
4.915,,-6.0
4.9191,,-7.0
4.9231,,6.0
4.9272,,3.0
4.9312,,9.0
4.9353,,-4.0
4.9393,,3.0
4.9434,,-7.0
4.9474,,10.0
4.9515,,2.0
4.9555,,-2.0
4.9596,,-4.0
4.9636,,6.0
4.9677,,6.0
4.9717,,1.0
4.9758,,-3.0
4.9798,,6.0
4.9839,,3.0
4.9879,,0.0
4.992,,7.0
4.996,,-6.0
5.0001,,-1.0
5.0041,,-5.0
5.0071,3.79,
5.0082,,13.0
5.0122,,0.0
5.0163,,-3.0
5.0203,,12.0
5.0243,,10.0
5.0284,,0.0
5.0324,,-2.0
5.0365,,3.0
5.0405,,1.0
5.0446,,-3.0
5.0486,,3.0
5.0527,,6.0
5.0567,,1.0
5.0608,,6.0
5.0648,,-3.0
5.0689,,-1.0
5.0729,,0.0
5.077,,6.0
5.081,,-1.0
5.0851,,-1.0
5.0891,,13.0
5.0932,,-3.0
5.0972,,-2.0
5.1013,,2.0
5.1053,,12.0
5.1094,,2.0
5.1134,,0.0
5.1175,,4.0
5.1215,,-1.0
