time,ACCU_VOLTAGE___min,SHUNT___current,SHUNT___current_counter
1.936,3.92,-2.92,0.0
1.94,3.92,-3.4,0.0
1.944,3.92,1.36,0.0
1.948,3.92,-5.66,0.0
1.952,3.92,-0.44,0.0
1.956,3.92,-3.46,0.0
1.96,3.92,2.6,0.0
1.964,3.92,4.1,0.0
1.968,3.92,-1.76,0.0
1.972,3.92,-9.88,0.0
1.976,3.92,-3.0,0.0
1.98,3.92,-2.1,0.0
1.984,3.92,5.2,0.0
1.988,3.92,-3.22,0.0
1.992,3.92,9.04,0.0
1.996,3.92,9.7,0.0
2.0,3.92,-5.0,0.0
2.004,3.92,-2.06,0.0
2.008,3.92,5.68,0.0
2.012,3.92,-0.58,0.0
2.016,3.92,-4.68,0.0
2.02,3.92,4.9,0.0
2.024,3.92,2.48,0.0
2.028,3.92,0.28,0.0
2.032,3.92,-0.84,0.0
2.036,3.92,-0.18,0.0
2.04,3.92,0.0,0.0
2.044,3.92,0.0,0.0
2.048,3.92,0.76,0.0
2.052,3.92,1.0,0.0
2.056,3.92,-4.76,0.0
2.06,3.92,-3.5,0.0
2.064,3.92,6.84,0.0
2.068,3.92,10.34,0.0
2.072,3.92,-0.88,0.0
2.076,3.92,-0.18,0.0
2.08,3.92,2.2,0.0
2.084,3.92,0.42,0.0
2.088,3.92,-2.8,0.0
2.092,3.92,-1.76,0.0
2.096,3.92,6.2,0.0
2.1,3.92,6.0,0.0
2.104,3.92,1.0,0.0
2.108,3.92,2.84,0.0
2.112,3.92,2.8,0.0
2.116,3.92,-0.84,0.0
2.12,3.92,-0.8,0.0
2.124,3.92,-1.28,0.0
2.128,3.92,-1.04,0.0
2.132,3.92,3.62,0.0
2.136,3.92,1.88,0.0
2.14,3.92,5.3,0.0
2.144,3.92,0.4,0.0
2.148,3.92,3.48,0.0
2.152,3.92,2.48,0.0
2.156,3.92,4.44,0.0
2.16,3.92,5.8,0.0
2.164,3.92,3.92,0.0
2.168,3.92,-1.0,0.0
2.172,3.92,-0.58,0.0
2.176,3.92,2.72,0.0
2.18,3.92,7.7,0.0
2.184,3.92,5.0,0.0
2.188,3.92,4.88,0.0
2.192,3.92,2.88,0.0
2.196,3.92,0.0,0.0
2.2,3.92,0.0,0.0
2.204,3.92,-1.96,0.0
2.208,3.92,-0.08,0.0
2.212,3.92,8.46,0.0
2.216,3.92,1.64,0.0
2.22,3.92,7.3,0.0
2.224,3.92,3.6,0.0
2.228,3.92,-5.6,0.0
2.232,3.92,-4.48,0.0
2.236,3.92,5.02,0.0
2.24,3.92,3.0,0.0
2.244,3.92,2.0,0.0
2.248,3.92,0.48,0.0
2.252,3.92,2.96,0.0
2.256,3.92,1.12,0.0
2.26,3.92,-2.1,0.0
2.264,3.92,3.8,0.0
2.268,3.92,2.38,0.0
2.272,3.92,1.28,0.0
2.276,3.92,5.72,0.0
2.28,3.92,0.2,0.0
2.284,3.92,-2.68,0.0
2.288,3.92,7.96,0.0
2.292,3.92,7.44,0.0
2.296,3.92,-3.68,0.0
2.3,3.92,-3.5,0.0
2.304,3.92,2.92,0.0
2.308,3.92,5.46,0.0
2.312,3.92,3.36,0.0
2.316,3.92,0.84,0.0
2.32,3.92,1.2,0.0
2.324,3.92,3.04,0.0
2.328,3.92,1.52,0.0
2.332,3.92,-5.58,0.0
2.336,3.92,2.04,0.0
2.34,3.92,1.2,0.0
2.344,3.92,4.28,0.0
2.348,3.92,3.7,0.0
2.352,3.92,-0.72,0.0
2.356,3.92,-2.34,0.0
2.36,3.92,0.6,0.0
2.364,3.92,3.18,0.0
2.368,3.92,5.92,0.0
2.372,3.92,14.32,0.0
2.376,3.92,3.52,0.0
2.38,3.92,0.4,0.0
2.384,3.92,3.84,0.0
2.388,3.92,2.12,0.0
2.392,3.92,3.88,0.0
2.396,3.92,1.0,0.0
2.4,3.92,1.0,0.0
2.404,3.92,-6.84,0.0
2.408,3.92,5.48,0.0
2.412,3.92,-0.58,0.0
2.416,3.92,-0.08,0.0
2.42,3.92,4.5,0.0
2.424,3.92,5.88,0.0
2.428,3.92,0.84,0.0
2.432,3.92,10.08,0.0
2.436,3.92,12.0,0.0
2.44,3.92,5.6,0.0
2.444,3.92,4.0,0.0
2.448,3.92,0.2,0.0
2.452,3.92,5.66,0.0
2.456,3.92,3.68,0.0
2.46,3.92,2.0,0.0
2.464,3.92,-5.48,0.0
2.468,3.92,-5.04,0.0
2.472,3.92,-0.44,0.0
2.476,3.92,2.24,0.0
2.48,3.92,2.220446e-16,0.0
2.484,3.92,-3.16,0.0
2.488,3.92,-2.32,0.0
2.492,3.92,3.86,0.0
2.496,3.92,8.0,0.0
2.5,3.92,4.5,0.0
2.504,3.92,0.04,0.0
2.508,3.92,-2.38,0.0
2.512,3.92,-3.12,0.0
2.516,3.92,0.52,0.0
2.52,3.92,2.0,0.0
2.524,3.92,-0.24,0.0
2.528,3.92,0.64,0.0
2.532,3.92,0.0,0.0
2.536,3.92,-2.56,0.0
2.54,3.92,-3.8,0.0
2.544,3.92,4.32,0.0
2.548,3.92,1.3,0.0
2.552,3.92,4.76,0.0
2.556,3.92,4.44,0.0
2.56,3.92,5.6,0.0
2.564,3.92,4.0,0.0
2.568,3.92,3.04,0.0
2.572,3.92,-1.3,0.0
2.576,3.92,2.88,0.0
2.58,3.92,2.0,0.0
2.584,3.92,1.28,0.0
2.588,3.92,-6.22,0.0
2.592,3.92,6.0,0.0
2.596,3.92,6.0,0.0
2.6,3.92,6.0,0.0
2.604,3.92,6.0,0.0
2.608,3.92,6.0,0.0
2.612,3.92,0.36,0.0
2.616,3.92,-1.84,0.0
2.62,3.92,7.9,0.0
